#medium-kruskal.csv
#Raphael
#Wirnsberger
#12220836
group,number,duration,relevantVertices,numberOfRelevantVertices,selectedEdges
Medium - Sparse - Kruskal,34,128094,1|2|3|4|5|6|7|8|9|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,27,40-39|34-9|30-29|33-32|41-40|31-30|37-36|42-41|43-42|9-8|7-6|32-31|2-1|38-37|8-7|34-33|30-5|4-3|3-2|29-28|44-43|28-3|39-38|45-44|35-34|36-35|0-0
Medium - Sparse - Kruskal,35,148002,1|2|3|4|5|6|7|8|9|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,40-39|34-9|30-29|33-32|41-40|31-30|37-36|42-41|43-42|9-8|7-6|32-31|2-1|50-1|38-37|49-48|8-7|34-33|30-5|47-46|4-3|50-49|3-2|29-28|44-43|28-3|39-38|45-44|35-34|36-35|46-45|0-0
Medium - Sparse - Kruskal,36,130774,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27,18,26-25|26-1|22-21|27-26|9-8|7-6|25-24|20-19|2-1|8-7|24-23|21-20|4-3|3-2|23-22|6-5|5-4|0-0
Medium - Sparse - Kruskal,37,144780,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|46|47|48|49|50,23,46-21|26-25|26-1|22-21|27-26|9-8|47-22|7-6|25-24|48-23|20-19|2-1|50-1|49-48|8-7|24-23|21-20|4-3|3-2|23-22|6-5|5-4|0-0
Medium - Sparse - Kruskal,38,129650,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45,27,40-39|26-25|26-1|41-40|22-21|27-26|42-41|43-42|9-8|7-6|25-24|20-19|45-20|2-1|38-37|44-19|8-7|24-23|21-20|4-3|3-2|23-22|6-5|44-43|39-38|5-4|0-0
Medium - Sparse - Kruskal,39,153289,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,40-39|46-21|26-25|26-1|41-40|22-21|27-26|42-41|43-42|9-8|47-22|7-6|25-24|48-23|20-19|45-20|2-1|50-1|38-37|44-19|49-48|8-7|24-23|21-20|4-3|3-2|23-22|6-5|44-43|39-38|5-4|0-0
Medium - Sparse - Kruskal,40,114410,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36,27,26-25|34-9|26-1|30-29|33-32|22-21|27-26|31-30|9-8|7-6|25-24|32-31|20-19|2-1|8-7|24-23|34-33|30-5|21-20|4-3|28-27|3-2|23-22|29-28|35-34|36-35|0-0
Medium - Sparse - Kruskal,41,114511,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|46|47|48|49|50,32,46-21|26-25|34-9|26-1|30-29|33-32|22-21|27-26|31-30|9-8|47-22|7-6|25-24|32-31|48-23|20-19|2-1|50-1|49-48|8-7|24-23|34-33|30-5|21-20|4-3|28-27|3-2|23-22|29-28|35-34|36-35|0-0
Medium - Sparse - Kruskal,42,133059,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,36,40-39|26-25|34-9|26-1|30-29|33-32|41-40|22-21|27-26|31-30|37-36|42-41|43-42|9-8|7-6|25-24|32-31|20-19|45-20|2-1|38-37|44-19|8-7|24-23|34-33|30-5|21-20|4-3|28-27|3-2|23-22|29-28|44-43|39-38|35-34|0-0
Medium - Sparse - Kruskal,43,100176,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,41,40-39|46-21|26-25|34-9|26-1|30-29|33-32|41-40|22-21|27-26|31-30|37-36|42-41|43-42|9-8|47-22|7-6|25-24|32-31|48-23|20-19|45-20|2-1|50-1|38-37|44-19|49-48|8-7|24-23|34-33|30-5|21-20|4-3|28-27|3-2|23-22|29-28|44-43|39-38|35-34|0-0
