#medium-prim.csv
#Raphael
#Wirnsberger
#12220836
group,number,duration,relevantVertices,numberOfRelevantVertices,selectedEdges
Medium - Sparse - Prim,49,175404,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36|46|47|48|49|50,32,1-1|2-1|3-2|4-3|5-30|6-7|7-8|8-9|9-34|10-9|11-10|12-11|13-12|14-13|15-14|16-15|17-16|18-17|28-3|29-28|30-29|31-30|32-31|33-32|34-33|35-34|36-11|46-47|47-48|48-49|49-50|50-1
Medium - Sparse - Prim,50,148998,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,36,1-1|2-1|3-2|4-3|5-30|6-7|7-8|8-9|9-34|10-9|11-10|12-11|13-12|14-13|15-14|16-15|17-16|18-43|28-3|29-28|30-29|31-30|32-31|33-32|34-33|35-34|36-37|37-12|38-37|39-40|40-15|41-40|42-41|43-42|44-43|45-44
Medium - Sparse - Prim,51,180550,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,41,1-1|2-1|3-2|4-3|5-30|6-7|7-8|8-9|9-34|10-9|11-10|12-11|13-12|14-13|15-14|16-15|17-16|18-43|28-3|29-28|30-29|31-30|32-31|33-32|34-33|35-34|36-37|37-12|38-37|39-40|40-15|41-40|42-41|43-42|44-43|45-44|46-45|47-46|48-49|49-50|50-1
Medium - Sparse - Prim,52,143453,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27,27,1-1|2-1|3-2|4-3|5-4|6-5|7-6|8-7|9-8|10-9|11-10|12-11|13-12|14-13|15-14|16-15|17-16|18-19|19-20|20-21|21-22|22-23|23-24|24-25|25-26|26-1|27-26
Medium - Sparse - Prim,53,165358,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|46|47|48|49|50,32,1-1|2-1|3-2|4-3|5-4|6-5|7-6|8-7|9-8|10-9|11-10|12-11|13-12|14-13|15-14|16-15|17-16|18-19|19-20|20-21|21-22|22-23|23-24|24-25|25-26|26-1|27-26|46-21|47-22|48-23|49-48|50-1
Medium - Sparse - Prim,54,266244,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45,36,1-1|2-1|3-2|4-3|5-6|6-7|7-8|8-9|9-10|10-11|11-12|12-13|13-14|14-15|15-40|16-15|17-16|18-19|19-20|20-21|21-22|22-23|23-24|24-25|25-26|26-1|27-26|37-12|38-37|39-40|40-41|41-42|42-43|43-18|44-19|45-20
Medium - Sparse - Prim,55,257189,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45|46|47|48|49|50,41,1-1|2-1|3-2|4-3|5-6|6-7|7-8|8-9|9-10|10-11|11-12|12-13|13-14|14-15|15-40|16-15|17-16|18-19|19-20|20-21|21-22|22-23|23-24|24-25|25-26|26-1|27-26|37-12|38-37|39-40|40-41|41-42|42-43|43-18|44-19|45-20|46-21|47-22|48-23|49-48|50-1
Medium - Sparse - Prim,56,121778,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36,36,1-1|2-1|3-2|4-3|5-30|6-7|7-8|8-9|9-34|10-9|11-10|12-11|13-12|14-13|15-14|16-15|17-16|18-19|19-20|20-21|21-22|22-23|23-24|24-25|25-26|26-1|27-26|28-27|29-28|30-29|31-30|32-31|33-32|34-33|35-34|36-11
Medium - Sparse - Prim,57,271389,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|46|47|48|49|50,41,1-1|2-1|3-2|4-3|5-30|6-7|7-8|8-9|9-34|10-9|11-10|12-11|13-12|14-13|15-14|16-15|17-16|18-19|19-20|20-21|21-22|22-23|23-24|24-25|25-26|26-1|27-26|28-27|29-28|30-29|31-30|32-31|33-32|34-33|35-34|36-11|46-21|47-22|48-23|49-48|50-1
Medium - Sparse - Prim,58,149390,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,45,1-1|2-1|3-2|4-3|5-30|6-7|7-8|8-9|9-34|10-9|11-10|12-11|13-12|14-13|15-14|16-15|17-16|18-43|19-18|20-19|21-20|22-21|23-24|24-25|25-26|26-1|27-26|28-27|29-28|30-29|31-30|32-31|33-32|34-33|35-34|36-37|37-12|38-37|39-40|40-15|41-40|42-41|43-42|44-19|45-20
